modelo,tecnica,f1_macro,ic95_bajo,ic95_alto,desviacion_estandar
labse,generate_then_refine,0.7045878770016701,0.6087568386605041,0.7896245400553099,0.04617835249974544
labse,mixup,0.6631908503829687,0.5648979539836707,0.7439392043894393,0.04545929233460734
labse,retrotraduccion,0.6251946565289893,0.5229366251566137,0.7120956426585908,0.04896501877572638
labse,sin_aumento,0.6943474825827767,0.6010361172038698,0.7726783932540611,0.04395482559739047
mbert,generate_then_refine,0.6651878142561373,0.5621384108105466,0.7477746745249825,0.04641304904881344
mbert,mixup,0.6936535793678651,0.5945024877438844,0.7686144635020246,0.04452163448816357
mbert,retrotraduccion,0.5858591032593894,0.4790782045104152,0.6671994472977765,0.04797629926093533
mbert,sin_aumento,0.69773046703993,0.6005017773946025,0.7729486570581164,0.04459267556394153
xlmr,generate_then_refine,0.7607305461369501,0.6694634696240068,0.8378145577263354,0.043498112178012034
xlmr,mixup,0.7373110355253213,0.6449138061253317,0.8147125238775624,0.04443664147492027
xlmr,retrotraduccion,0.732339323221991,0.6359437440866977,0.8089383177513428,0.044120752858752034
xlmr,sin_aumento,0.7223330241187383,0.6253152822954084,0.8056939269498999,0.04593176262298428
